"ID","Created Date","Updated Date","Owner","courts","Publish Date","Unpublish Date","Status"
"0464088b-64d1-4c1d-9614-9a1248d74eed",2023-07-19T08:58:47Z,2023-07-19T08:58:47Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Additional District Court, Keshod - Gujarat - India",2023-07-19T08:58:47Z,,"PUBLISHED"
"046f41a5-c3f4-432d-9c4a-c98b90bec30d",2023-07-19T08:59:11Z,2023-07-19T08:59:11Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Munsiff Court, Banihal - Jammu and Kashmir (UT) - India",2023-07-19T08:59:11Z,,"PUBLISHED"
"04b63e28-876e-4220-93dc-2b6294096073",2023-07-19T08:58:52Z,2023-07-19T08:58:52Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Civil Court, Bhikangaon, Behind Bus Stand Bhikangaon - Madhya Pradesh - India",2023-07-19T08:58:52Z,,"PUBLISHED"
"0505d873-10a6-4c11-ad65-12bb25d20727",2023-07-19T08:58:49Z,2023-07-19T08:58:49Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Barshi, Civil and Criminal Court - Maharashtra - India",2023-07-19T08:58:49Z,,"PUBLISHED"
"05069864-98ff-4c21-927a-dd253c8978fb",2023-07-19T08:59:15Z,2023-07-19T08:59:15Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Pithoragarh, District Consumer Disputes Redressal Commission - Uttarakhand - India",2023-07-19T08:59:15Z,,"PUBLISHED"
"0519a185-4351-40cc-a855-b46c4555156d",2023-07-19T08:59:18Z,2023-07-19T08:59:18Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Suratgarh Court - Rajasthan - India",2023-07-19T08:59:18Z,,"PUBLISHED"
"052071bc-e046-484e-b62d-90f574fb5e8d",2023-07-19T08:58:59Z,2023-07-19T08:58:59Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","District and Session Court Balod - Chhattisgarh - India",2023-07-19T08:58:59Z,,"PUBLISHED"
"0522639f-574f-4e0c-95ce-20604e05f713",2023-07-19T08:59:11Z,2023-07-19T08:59:11Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Munsiff Court - Assam - India",2023-07-19T08:59:11Z,,"PUBLISHED"
"053c8ff3-c627-46b4-99c7-60ec5690e5d6",2023-07-19T08:59:01Z,2023-07-19T08:59:01Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","District Court, Paonta Sahib - Himachal Pradesh - India",2023-07-19T08:59:01Z,,"PUBLISHED"
"053e73f5-ecfd-48da-9eba-26b113310f6e",2023-07-19T08:58:48Z,2023-07-19T08:58:48Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Almora, District Consumer Disputes Redressal Commission - Uttarakhand - India",2023-07-19T08:58:48Z,,"PUBLISHED"
